book_id,title,matched_core,core_length,confidence,sinksar_dates,tselot_dates,missing_to_add,extra_to_remove,status
AM-MEL-065,ጸሎተ መልክዐ ሥቃዩ ለቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት በአማርኛ,ጊዮርጊስ ሊቀ ሰማዕታት,14,HIGH,"[(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)]","[(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 18), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)]",[],"[(5, 18)]",WRONG_DATE
AM-MEL-066,ጸሎተ መልክዕ ዘቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት በአማርኛ,ጊዮርጊስ ሊቀ ሰማዕታት,14,HIGH,"[(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)]","[(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 18), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)]",[],"[(5, 18)]",WRONG_DATE
AM-MEL-067,ጸሎተ መልክዕ ዘቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት ካልዕ በአማርኛ,ጊዮርጊስ ሊቀ ሰማዕታት,14,HIGH,"[(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)]","[(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 18), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)]",[],"[(5, 18)]",WRONG_DATE
AM-SIB-001,ስብሐተ ፍቁር ዘቅዱስ ጊዮርጊስ ሊቀ ሰማዕታት በአማርኛ,ጊዮርጊስ ሊቀ ሰማዕታት,14,HIGH,"[(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)]","[(1, 23), (2, 23), (3, 7), (3, 23), (4, 23), (5, 18), (5, 23), (6, 23), (7, 23), (8, 23), (9, 23), (10, 23), (11, 23), (12, 16), (12, 23)]",[],"[(5, 18)]",WRONG_DATE
AM-TEA-002,ተአምኆ ዘሥሉስ ቅዱስ በአማርኛ,ሥሉስ ቅዱስ,7,MEDIUM,"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]",[],WRONG_DATE
GZ-MEL-016,መልክዐ ሊቀ ሰማዕታት ቅዱስ እስጢፋኖስ በግእዝ,እስጢፋኖስ,6,MEDIUM,"[(5, 17)]","[(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",[],"[(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",WRONG_DATE
GZ-MEL-017,መልክዐ ሊቀ ሰማዕታት ቅዱስ እስጢፋኖስ ካልእ በግእዝ,እስጢፋኖስ,6,MEDIUM,"[(5, 17)]","[(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (5, 17), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",[],"[(1, 15), (1, 17), (2, 17), (3, 17), (4, 17), (5, 1), (6, 17), (7, 17), (8, 17), (9, 17), (10, 17), (11, 17), (12, 17)]",WRONG_DATE
GZ-MEL-021,መልክዐ ሐራ ድንግል በግእዝ,ሐራ ድንግል,7,MEDIUM,"[(1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (12, 11)]","[(1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (11, 11), (12, 11)]",[],[],CORRECT
GZ-MEL-028,መልክዐ መድኃኔ ዓለም በግእዝ,መድኃኔ ዓለም,8,HIGH,"[(12, 27)]","[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27), (12, 27)]",[],"[(1, 27), (2, 27), (3, 27), (4, 27), (5, 27), (6, 27), (7, 27), (8, 27), (9, 27), (10, 27), (11, 27)]",WRONG_DATE
GZ-MEL-034,መልክዐ ሥሉስ ቅዱስ በግእዝ,ሥሉስ ቅዱስ,7,MEDIUM,"[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]","[(5, 7)]","[(1, 7), (2, 7), (3, 7), (4, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]","[(5, 7)]",WRONG_DATE
GZ-MEL-039,መልክዐ ሰማዕት ቅዱስ መርቆሬዎስ በግእዝ,መርቆሬዎስ,6,MEDIUM,"[(1, 25), (2, 25), (3, 25), (3, 30), (4, 25), (6, 25), (7, 1), (7, 25), (8, 25), (9, 25), (10, 25), (12, 25)]","[(1, 25), (2, 25), (3, 25), (4, 25), (5, 25), (6, 25), (7, 25), (8, 25), (9, 25), (10, 25), (11, 25), (12, 25)]","[(3, 30), (7, 1)]","[(5, 25), (11, 25)]",WRONG_DATE
GZ-MEL-047,መልክዐ ቅዱሳን ሠለስቱ ደቂቅ በግእዝ,ሠለስቱ ደቂቅ,8,HIGH,"[(4, 2)]","[(4, 2), (4, 19), (9, 10)]",[],"[(4, 19), (9, 10)]",WRONG_DATE
GZ-MEL-058,መልክዐ ቅዱስ አግናጥዮስ ምጥው ለአንበሳ በግእዝ,አግናጥዮስ,6,MEDIUM,"[(1, 7), (2, 7), (2, 26), (3, 7), (4, 7), (4, 24), (5, 7), (6, 7), (7, 7), (8, 7), (10, 7), (12, 7)]","[(1, 7), (2, 7), (2, 26), (3, 7), (4, 7), (4, 24), (5, 7), (6, 7), (7, 7), (8, 7), (9, 7), (10, 7), (11, 1), (11, 7), (12, 7)]",[],"[(9, 7), (11, 1), (11, 7)]",WRONG_DATE
GZ-MEL-060,መልክዐ ቅዱስ ዮሐንስ መጥምቅ በግእዝ,ዮሐንስ መጥምቅ,9,HIGH,"[(1, 26), (3, 12), (5, 11), (5, 21), (13, 1)]","[(1, 1), (1, 2), (1, 26), (1, 30), (2, 2), (2, 30), (3, 2), (3, 30), (4, 2), (4, 30), (5, 2), (5, 11), (5, 30), (6, 2), (6, 30), (7, 2), (7, 30), (8, 2), (8, 15), (8, 30), (9, 2), (9, 30), (10, 2), (10, 30), (11, 2), (11, 30), (12, 2), (12, 30), (13, 1)]","[(3, 12), (5, 21)]","[(1, 1), (1, 2), (1, 30), (2, 2), (2, 30), (3, 2), (3, 30), (4, 2), (4, 30), (5, 2), (5, 30), (6, 2), (6, 30), (7, 2), (7, 30), (8, 2), (8, 15), (8, 30), (9, 2), (9, 30), (10, 2), (10, 30), (11, 2), (11, 30), (12, 2), (12, 30)]",WRONG_DATE
GZ-MEL-062,መልክዐ ቅዱስ ዮሐንስ ወንጌላዊ በግእዝ,ዮሐንስ ወንጌላዊ,10,HIGH,"[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (9, 16), (11, 27)]","[(1, 4), (1, 29), (2, 4), (3, 4), (4, 4), (5, 4), (6, 4), (7, 4), (8, 4), (9, 4), (9, 16), (10, 4), (11, 4), (11, 27), (12, 4)]",[],"[(6, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (12, 4)]",WRONG_DATE
GZ-MEL-066,መልክዐ ቅድስት ፍቅርተ ክርስቶስ በግእዝ,ፍቅርተ ክርስቶስ,10,HIGH,"[(7, 29)]","[(1, 29), (2, 29), (3, 29), (4, 29), (5, 29), (6, 29), (7, 29), (8, 29), (9, 29), (10, 29), (11, 29), (12, 29)]",[],"[(1, 29), (2, 29), (3, 29), (4, 29), (5, 29), (6, 29), (8, 29), (9, 29), (10, 29), (11, 29), (12, 29)]",WRONG_DATE
GZ-MEL-068,መልክዐ ተክለ ሃይማኖት በግእዝ,ተክለ ሃይማኖት,9,HIGH,"[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 22), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]",[],"[(8, 22), (9, 12)]",WRONG_DATE
GZ-MEL-069,መልክዐ ተክለ ሃይማኖት ካልእ በግእዝ,ተክለ ሃይማኖት,9,HIGH,"[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 22), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]",[],"[(8, 22), (9, 12)]",WRONG_DATE
GZ-MEL-076,መልክዐ አቡነ መርቆሬዎስ ዘደብረ ድማኅ በግእዝ,መርቆሬዎስ,6,MEDIUM,"[(1, 25), (2, 25), (3, 25), (3, 30), (4, 25), (6, 25), (7, 1), (7, 25), (8, 25), (9, 25), (10, 25), (12, 25)]","[(4, 16)]","[(1, 25), (2, 25), (3, 25), (3, 30), (4, 25), (6, 25), (7, 1), (7, 25), (8, 25), (9, 25), (10, 25), (12, 25)]","[(4, 16)]",WRONG_DATE
GZ-MEL-078,መልክዐ አቡነ መድኃኒነ እግዚእ በግእዝ,መድኃኒነ እግዚእ,10,HIGH,"[(5, 3)]","[(1, 3), (2, 3), (3, 3), (4, 3), (5, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3)]",[],"[(1, 3), (2, 3), (3, 3), (4, 3), (6, 3), (7, 3), (8, 3), (9, 3), (10, 3), (11, 3), (12, 3)]",WRONG_DATE
GZ-MEL-085,መልክዐ አቡነ ሳሙኤል ዘዋልድባ በግእዝ,ሳሙኤል ዘዋልድባ,10,HIGH,"[(1, 12), (2, 12), (3, 12), (4, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12)]","[(1, 12), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12)]",[],"[(5, 12)]",WRONG_DATE
GZ-MEL-086,መልክዐ አቡነ ሳሙኤል ዘዋልድባ ካልዕ በግእዝ,ሳሙኤል ዘዋልድባ,10,HIGH,"[(1, 12), (2, 12), (3, 12), (4, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12)]","[(1, 12), (2, 12), (3, 12), (4, 12), (5, 12), (6, 12), (7, 12), (8, 12), (9, 12), (10, 12), (11, 12), (12, 12)]",[],"[(5, 12)]",WRONG_DATE
GZ-MEL-092,መልክዐ አቡነ ተክለ ሃይማኖት በግእዝ,ተክለ ሃይማኖት,9,HIGH,"[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24)]","[(1, 24), (2, 24), (3, 24), (4, 24), (5, 24), (6, 24), (7, 24), (8, 22), (8, 24), (9, 12), (9, 24), (10, 24), (11, 24), (12, 24)]",[],"[(8, 22), (9, 12)]",WRONG_DATE
GZ-MEL-099,መልክዐ አቡነ አብሳዲ ዘደብረ ማርያም በግእዝ,አብሳዲ ዘደብረ ማርያም,14,HIGH,"[(1, 30)]","[(1, 30)]",[],[],CORRECT
GZ-MEL-102,መልክዐ አቡነ እንድርያስ ዘደብረ ስኂን (ፅፉን) በግእዝ,እንድርያስ,6,MEDIUM,"[(1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (11, 30), (12, 4), (12, 30)]","[(7, 29)]","[(1, 4), (2, 4), (3, 4), (4, 4), (5, 4), (7, 4), (8, 4), (9, 4), (10, 4), (11, 4), (11, 30), (12, 4), (12, 30)]","[(7, 29)]",WRONG_DATE
